reaction,resp,ferm,
OXO2Ctm,0,0,
P5CDm,0,0,
P5CR,0.04941,0.04941,
PAK_SC,0,0,
PAN4Ptm,0,0,
PANTS,0,0,
PANTtm,-6.49758e-12,0,
PAPSR,0.01719,0.183828,
PAPt,0,0,
PAPtm,4.07987e-12,0,
PAtm_SC,0,0,
PC,0.47379,1.2905,
PCLAD,0,0,
PDE1,0,0,
PDE2,0,0,
PDE3,0,0,
PDE4,0,0,
PDE5,0,0,
PDHcm,0,0,
PDHm,0.3915,0,
PDX5PO,0,0,
PEPAT,0,0,
PEPDt3,0,0,
PETHCT,0,0,
PETOHM_SC,0.0018,0.0018,
PEtg_SC,0,0,
PEtm_SC,-3.15e-05,-3.15e-05,
PEtv_SC,0,-1.34116e-13,
PFK,0,0,
PFK26,0,0,
PFK_2,0,0,
PFK_3,2.24114,13.71,
PGAMT,0,0,
PGCD,2.50097,0.261324,
PGI,2.57002,14.0389,
PGK,-4.40048,-27.3382,
PGL,0.00087,0.00087,
PGM,-1.89951,-27.0769,
PGMT,-0.50301,-0.50301,
PGPPAm_SC,0,0,
PHCDm,0,0,
PHCHGSm,-1.65284e-13,-1.65284e-13,
PHETA1,-0.04017,-0.04017,
PHETRS,0,0,
PHETRSm,0,0,
PHEt2m,0,0,
PHEt2r,0,0,
PI3P4K_SC,0,0,
PI45BPP_SC,0,0,
PI4P5K_SC,0,0,
PIN3K_SC,0,0,
PIN4K_SC,0,0,
PIN4Kn_SC,0,0,
PINOS_SC,0.00159,0.00159,
PIt2m,14.0086,-0.191124,
PIt2n,-0.03318,-0.03318,
PIt2p,0,1.52864e-12,
PIt2r,0.05931,0.05931,
PIt2v,0,0,
PIt5m,0,0,
PMANM,-0.24237,-0.24237,
PMDPHT,0,0,
PMETM_SC,0.0018,0.0018,
PMEVK,0.00396,0.00396,
PMPK,0,0,
PNTK,0,0,
PNTOt2,0,0,
POLYAO,0,0,
POLYAO2,0,0,
PPA,1.05018,1.05018,
PPAm,0,0,
PPBNGS,0,0,
PPCDC,0,0,
PPCK,0,0,
PPM,4.75477e-11,-5.54493e-13,
PPNCL2,0,0,
PPND,0,0,
PPND2,0.0306,0.0306,
PPNDH,0.04017,0.04017,
PPPG9tm,0,0,
PPPGOm,0,0,
PRAGSr,0.0294,0.0294,
PRAIS,0.0294,0.0294,
PRAIi,0.00852,0.00852,
PRAMPC,0.01989,0.01989,
PRASCS,0.0294,0.0294,
PRATPP,0.01989,0.01989,
PRFGS,0.0294,0.0294,
PRMICIi,0.01989,0.01989,
PRO1xm,0,0,
PROTRS,0,0,
PROt2r,0,-6.18105e-13,
PROtm,0,0,
PRPPS,0.09099,0.09099,
PRPPtm,2.77503e-12,-9.79422e-13,
PSCVTi,0.07929,0.07929,
PSERDg_SC,0,0,
PSERDm_SC,0.00315,0.00315,
PSERDv_SC,0,0,
PSERS_SC,0.00366,0.00366,
PSERSm_SC,1.92528e-13,1.92528e-13,
PSERT,2.50097,0.261324,
PSPHPL,0,0,
PSPHS,0,0,
PSP_L,2.50097,0.261324,
PStg_SC,0,0,
PStm_SC,3.15e-05,3.15e-05,
PStv_SC,0,1.15911e-13,
PTD1INOtn_SC,0,0,
PTD4INOtn_SC,0,0,
PTPATi,0,0,
PTPATim,-4.19937e-12,0,
PTRCt2,0,0,
PUNP1,4.2062e-11,0,
PUNP1m,0,0,
PUNP2,-2.53386e-13,5.06771e-13,
PUNP3,-1.26693e-12,1.26693e-13,
PUNP3m,0,0,
PUNP4,0,0,
PUNP5,1.55152e-13,-3.10304e-13,
PUNP6,4.65456e-13,0,
PUNP7,3.97814e-13,1.32605e-13,
PYAM5PO,0,0,
PYDAMK,0,0,
PYDXK,0,0,
PYDXNK,0,0,
PYDXNO,0,0,
PYDXO,0,7.10201e-13,
PYK,1.74093,26.9183,
PYNP2r,7.3134e-12,0,
PYR5CDm,0,0,
PYRDC,0.35211,25.606,
PYRt2,0,0,
PYRt2m,0.78591,-0.10725,
PYRt2p,7.61022e-13,3.80511e-13,
QULNS,0,0,
QULNtm,2.78977e-12,-3.48721e-13,
RAFGH,0,0,
RBFK,0,0,
RBFKm,0,0,
RBFSa,0,0,
RBFSb,0,0,
RBK,0,0,
RIBFLVt2,0,0,
RIBFLVtm,0,0,
RIBt2,0,0,
RNDR1,0.00036,0.00108,
RNDR1n,0,0,
RNDR2,0,0,
RNDR2n,0,0,
RNDR3,0,0,
RNDR3n,0,0,
RNDR4,0,0.0018,
RNDR4n,0,0,
RNTR1,0.00072,0,
RNTR2,0.00072,0.00072,
RNTR3,0,0,
RNTR4,0.0018,0,
RPE,-0.08651,-0.08651,
RPI,-0.08738,-0.08738,
SACCD1,0.08586,0.08586,
SACCD2,0.08586,0.08586,
SADT,0,0,
SAM24MT,0,0,
SBPP1,0,0,
SBPP2,0,0,
SBTD_D2,0,0,
SBTD_L,0,0,
SBTR,0,0,
SBT_Dt,0,0,
SBT_Lt,0,0,
SERATi,0.00198,0.00198,
SERD_L,0,0,
SERPT,0,0,
SERTRS,0,0,
SERt2m,-997.569,-999.808,
SERt2r,0,0,
SFGTH,0,0,
SHK3D,0.07929,0.07929,
SHKK,0.07929,0.07929,
SHSL1,0,0,
SHSL4r,1.1836e-12,0,
SLCBK1,0,0,
SLCBK2,0,0,
SLFAT,0.01719,0.183828,
SO4ti,0.02319,0.189828,
SPHPL,0,0,
SPMDAT1,0,0,
SPMDt2,0,0,
SPMS,0,0,
SPRMS,0,0,
SPRMti,0,0,
SQ23EPXter,0.00066,0.00066,
SQLEr,0.00066,0.00066,
SQLS,0.00066,0.00066,
SQLter,0.00066,0.00066,
SRB_Lt,0,0,
SSALy,0,0,
SUCCt2r,0,-0.03318,
SUCCtm,0,0,
SUCD1m,-1000,-1000,
SUCD2_u6m,1000,999.967,
SUCD3_u6m,-1000,-1000,
SUCFUMtm,0,0,
SUCOASm,0,1.48424e-13,
SUCRe,0,0,
SUCRt2,0,0,
SULR,-0.01719,-0.183828,
TALA,-2.24475,-13.7136,
THFATm,0,0,
THFGLUS,0,0,
THFtm,-995.369,-999.735,
THMDPe,0,0,
THMDt2,0,0,
THMP,0,0,
THMPe,0,0,
THMt2,0,0,
THRA,0.11523,0,
THRD_L,0,0,
THRD_Lm,0.05781,0.05781,
THRS,0,0.11523,
THRTRS,0,0,
THRTRSm,0,0,
THRt2m,0.05781,0.05781,
THRt2r,0,0,
THYMt3r,-1.05405e-12,9.22297e-13,
THZPSN1_SC,0,0,
THZPSN2_SC,0,0,
TKT1,-0.00361,-0.00361,
TKT2,-0.0829,-0.0829,
TMDK1,2.32398e-12,0,
TMDPK,0,0,
TMDPP,-1.04326e-12,6.52035e-13,
TMDPPK,0,0,
TMDS,0.00108,0.00108,
TMN,0,0,
TMPKr,0,0,
TMPPP,0,0,
TPI,2.23373,13.7026,
TRDR,0.02079,0.187428,
TRDRm,0,0,
TRE6PP,0.00702,0.00702,
TRE6PS,0.00702,0.00702,
TREH,0,0,
TREHv,0,0,
TREt2,0,0,
TREt2v,2.16519e-13,1.0826e-12,
TRIGS_SC,0.00198,0.00198,
TRPO2,0,0,
TRPS1,0.00852,0.00852,
TRPTRS,0,0,
TRPTRSm,0,0,
TRPt2m,0,0,
TRPt2r,0,0,
TTDCAt,0,0,
TYRTA,-997.347,1000,
TYRTAi,0,1000,
TYRTAm,997.317,-0.0306,
TYRTAp,-1.26036e-13,1.26036e-13,
TYRTRS,0,0,
TYRTRSm,0,0,
TYRt2m,997.317,-0.0306,
TYRt2p,-1.75946e-13,1.75946e-13,
TYRt2r,0,0,
UDPACGLP,0,0,
UDPG4E,0,0,
UGLT,-1000,-1000,
UGLYCHr,-7.78212e-13,6.67039e-13,
UMPK,0.01521,0.01521,
UMPKn,-2.16997e-13,0,
UMPtn,-2.16997e-13,0,
UPP3MT,0,0,
UPP3S,0,0,
UPPDC1,0,0,
UPPRT,0,0,
URAt2,0,0,
UREA2t2,-1.13574e-10,0,
UREASE,0,0,
URIDK2r,-1000,-1000,
URIDK2rn,0,0,
URIK1,0,0,
URIK2,0,0,
URIt2,0,0,
VALTA,-0.07938,-0.07938,
VALTRS,0,0,
VALTRSm,0,0,
VALt2m,0,0,
VALt2r,0,-4.80514e-13,
XANt,-3.13753e-13,0,
XPPT,0,0,
XTSNt2,0,0,
XYLK,0,0,
XYLR,0,0,
XYLTD_D,0,0,
XYLTt,0,0,
XYLt,0,0,
YUMPS,0,0,
ZYMSTt,0,0,
biomass_SC4_bal,0.3,0.3,
