reaction,resp,ferm,
PFK,0,0,
PFK26,0,0,
PFK_2,0,0,
PFK_3,2.24114,6.52164,
PGAMT,0,0,
PGCD,2.50097,11.0138,
PGI,2.04341,6.85052,
PGK,-4.40048,-12.9615,
PGL,0.00087,0.00087,
PGM,-1.89951,-1.94772,
PGMT,-0.50301,-0.50301,
PGPPAm_SC,0,0,
PHCDm,0,0,
PHCHGSm,-1.65284e-13,-1.65284e-13,
PHETA1,-0.04017,-0.04017,
PHETRS,0,0,
PHETRSm,0,0,
PHEt2m,0,0,
PHEt2r,0,0,
PI3P4K_SC,0,0,
PI45BPP_SC,0,0,
PI4P5K_SC,0,0,
PIN3K_SC,0,0,
PIN4K_SC,0,0,
PIN4Kn_SC,-1.38071e-11,0,
PINOS_SC,0.00159,0.00159,
PIt2m,16.6918,-10.974,
PIt2n,-0.03318,-0.03318,
PIt2p,-3.8216e-13,1.71972e-12,
PIt2r,0.05931,0.05931,
PIt2v,0,0,
PIt5m,0,0,
PMANM,-0.24237,-0.24237,
PMDPHT,0,0,
PMETM_SC,0.0018,0.0018,
PMEVK,0.00396,0.00396,
PMPK,0,0,
PNTK,0,0,
PNTOt2,0,-4.74324e-12,
POLYAO,0,0,
POLYAO2,0,0,
PPA,1.05018,1.05018,
PPAm,3.33025e-12,-1.23068e-11,
PPBNGS,0,0,
PPCDC,0,0,
PPCK,0,0,
PPM,2.77246e-13,5.72514e-11,
PPNCL2,0,0,
PPND,0,0,
PPND2,0.0306,0.0306,
PPNDH,0.04017,0.04017,
PPPG9tm,0,0,
PPPGOm,0,0,
PRAGSr,0.0294,0.0294,
PRAIS,0.0294,0.0294,
PRAIi,0.00852,0.00852,
PRAMPC,0.01989,0.01989,
PRASCS,0.0294,0.0294,
PRATPP,0.01989,0.01989,
PRFGS,0.0294,0.0294,
PRMICIi,0.01989,0.01989,
PRO1xm,0,0,
PROTRS,0,0,
PROt2r,0,0,
PROtm,0,0,
PRPPS,0.09099,0.09099,
PRPPtm,0,-7.18243e-12,
PSCVTi,0.07929,0.07929,
PSERDg_SC,0,0,
PSERDm_SC,0.00315,0.00315,
PSERDv_SC,0,0,
PSERS_SC,0.00366,0.00366,
PSERSm_SC,1.92528e-13,1.92528e-13,
PSERT,2.50097,11.0138,
PSPHPL,0,0,
PSPHS,0,0,
PSP_L,2.50097,11.0138,
PStg_SC,0,0,
PStm_SC,3.15e-05,3.15e-05,
PStv_SC,0,0,
PTD1INOtn_SC,-1.66339e-13,0,
PTD4INOtn_SC,1.38071e-13,0,
PTPATi,0,0,
PTPATim,0,0,
PTRCt2,0,0,
PUNP1,7.60157e-13,3.35736e-11,
PUNP1m,0,0,
PUNP2,-1.26693e-13,-3.256e-11,
PUNP3,-1.26693e-13,-5.06771e-13,
PUNP3m,0,0,
PUNP4,0,0,
PUNP5,-4.65456e-13,2.09455e-11,
PUNP6,1.55152e-13,-3.10304e-13,
PUNP7,2.65209e-13,1.32605e-13,
PYAM5PO,0,0,
PYDAMK,0,0,
PYDXK,0,0,
PYDXNK,0,0,
PYDXNO,0,0,
PYDXO,0,0,
PYK,1.74093,1.78914,
PYNP2r,-2.61193e-13,1.30596e-13,
PYR5CDm,0,0,
PYRDC,0.35211,0.79182,
PYRt2,0,0,
PYRt2m,0.78591,0.03738,
PYRt2p,1.90255e-13,1.90255e-13,
QULNS,0,0,
QULNtm,0,-6.97443e-12,
RAFGH,0,0,
RBFK,0,0,
RBFKm,0,0,
RBFSa,0,0,
RBFSb,0,0,
RBK,0,0,
RIBFLVt2,0,0,
RIBFLVtm,0,0,
RIBt2,0,0,
RNDR1,0.00108,0.00108,
RNDR1n,0,0,
RNDR2,0.00072,0.00072,
RNDR2n,0,0,
RNDR3,0,0,
RNDR3n,0,0,
RNDR4,0.0018,0,
RNDR4n,0,0,
RNTR1,0,0,
RNTR2,0,0,
RNTR3,0,0,
RNTR4,0,0.0018,
RPE,-0.08651,-0.08651,
RPI,-0.08738,-0.08738,
SACCD1,0.08586,0.08586,
SACCD2,0.08586,0.08586,
SADT,0,0,
SAM24MT,0,0.00021,
SBPP1,0,0,
SBPP2,0,0,
SBTD_D2,0.526602,0,
SBTD_L,0,0,
SBTR,0.526602,0,
SBT_Dt,0,0,
SBT_Lt,0,0,
SERATi,0.00198,0.00198,
SERD_L,0,0,
SERPT,0,0,
SERTRS,0,0,
SERt2m,-997.569,-989.056,
SERt2r,0,0,
SFGTH,0,0,
SHK3D,0.07929,0.07929,
SHKK,0.07929,0.07929,
SHSL1,0,0,
SHSL4r,0,0,
SLCBK1,0,0,
SLCBK2,0,0,
SLFAT,0.01719,0.01719,
SO4ti,0.02319,0.02319,
SPHPL,0,0,
SPMDAT1,0,0,
SPMDt2,0,0,
SPMS,0,0,
SPRMS,0,0,
SPRMti,0,0,
SQ23EPXter,0.00066,0.00066,
SQLEr,0.00066,0.00066,
SQLS,0.00066,0.00066,
SQLter,0.00066,0.00066,
SRB_Lt,0,0,
SSALy,0,0,
SUCCt2r,0,0,
SUCCtm,0,0,
SUCD1m,-1000,-999.952,
SUCD2_u6m,1000,1000,
SUCD3_u6m,-1000,-999.952,
SUCFUMtm,0,999.888,
SUCOASm,0,-0.04821,
SUCRe,0,0,
SUCRt2,0,0,
SULR,-0.01719,-0.01719,
TALA,-2.24475,-6.52525,
THFATm,0,0,
THFGLUS,0,0,
THFtm,-995.369,-978.344,
THMDPe,0,0,
THMDt2,0,0,
THMP,0,0,
THMPe,0,0,
THMt2,0,0,
THRA,0.11523,0.11523,
THRD_L,0,0,
THRD_Lm,0.05781,0.05781,
THRS,0,0,
THRTRS,0,0,
THRTRSm,0,0,
THRt2m,0.05781,0.05781,
THRt2r,0,0,
THYMt3r,-1.31757e-13,3.26757e-11,
THZPSN1_SC,0,0,
THZPSN2_SC,0,0,
TKT1,-0.00361,-0.00361,
TKT2,-0.0829,-0.0829,
TMDK1,0,-3.25857e-11,
TMDPK,0,0,
TMDPP,-1.30407e-13,3.27322e-11,
TMDPPK,0,0,
TMDS,0.00108,0.00108,
TMN,0,0,
TMPKr,0,0,
TMPPP,0,0,
TPI,2.23373,6.51423,
TRDR,0.02079,0.02079,
TRDRm,0,0,
TRE6PP,0.00702,0.00702,
TRE6PS,0.00702,0.00702,
TREH,0,0,
TREHv,0,0,
TREt2,0,0,
TREt2v,-2.16519e-13,-2.16519e-13,
TRIGS_SC,0.00198,0.00198,
TRPO2,0,0,
TRPS1,0.00852,0.00852,
TRPTRS,0,0,
TRPTRSm,0,0,
TRPt2m,0,0,
TRPt2r,0,0,
TTDCAt,0,0,
TYRTA,-1000,11.3381,
TYRTAi,0.0306,1000,
TYRTAm,1000,988.631,
TYRTAp,-1.26036e-13,-1.26036e-13,
TYRTRS,0,0,
TYRTRSm,0,0,
TYRt2m,1000,988.631,
TYRt2p,-1.75946e-13,-1.75946e-13,
TYRt2r,0,0,
UDPACGLP,0,0,
UDPG4E,2.41467e-13,3.622e-13,
UGLT,999.497,999.497,
UGLYCHr,1.11173e-13,6.2257e-12,
UMPK,0.01521,0.01521,
UMPKn,0,0,
UMPtn,0,0,
UPP3MT,0,0,
UPP3S,0,0,
UPPDC1,0,0,
UPPRT,0,0,
URAt2,0,0,
UREA2t2,0,-5.66554e-12,
UREASE,0,6.57662e-13,
URIDK2r,-1000,-1000,
URIDK2rn,0,0,
URIK1,0,0,
URIK2,0,0,
URIt2,0,0,
VALTA,-0.07938,-0.07938,
VALTRS,0,0,
VALTRSm,0,0,
VALt2m,0,0,
VALt2r,0,1.20129e-13,
XANt,0,0,
XPPT,0,0,
XTSNt2,0,0,
XYLK,0,0,
XYLR,0,0,
XYLTD_D,0,0,
XYLTt,0,0,
XYLt,0,0,
YUMPS,0,0,
ZYMSTt,0,0,
biomass_SC4_bal,0.3,0.3,
